Dossiê;Oferta;Evento;Status;Inserido em;Atualizado em;Inseriu?;Atualizou?;Nem nem?;
16824;2359371;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
10367;2359374;104390;Em processamento;2022-03-11T18:17:05.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
14736;2359398;104390;Em processamento;2022-03-11T18:17:06.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
14449;2359376;104390;Em processamento;2022-03-11T18:17:05.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
16477;2359367;104390;Em processamento;2022-03-11T18:17:04.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
17442;2359405;104390;Em processamento;2022-03-11T18:17:07.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17470;2359428;104390;Em processamento;2022-03-11T18:17:07.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
16669;2359402;104390;Em processamento;2022-03-11T18:17:07.000-03:00;2022-03-11T18:39:50.000-03:00;;;;
17687;2359413;;Em processamento;2022-03-11T18:17:08.000-03:00;2022-03-11T18:17:08.000-03:00;;;;
15113;2359433;104390;Em processamento;2022-03-11T18:17:08.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
17432;2359423;104390;Em processamento;2022-03-11T18:17:07.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
14678;2359434;104390;Em processamento;2022-03-11T18:17:09.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
15666;2359439;104390;Em processamento;2022-03-11T18:17:10.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
16966;2359429;104390;Em processamento;2022-03-11T18:17:08.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
10749;2359409;104390;Em processamento;2022-03-11T18:17:07.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
17493;2359437;104390;Em processamento;2022-03-11T18:17:08.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17371;2359432;104390;Em processamento;2022-03-11T18:17:08.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17627;2346940;104220;Aberto;2022-02-24T13:30:14.000-03:00;2022-03-11T17:21:02.000-03:00;;;;
17227;2359406;104390;Em processamento;2022-03-11T18:17:07.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
17568;2359396;;Em processamento;2022-03-11T18:17:06.000-03:00;2022-03-11T18:17:06.000-03:00;;;;
10762;2359427;104390;Em processamento;2022-03-11T18:17:07.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
11532;2359403;104390;Em processamento;2022-03-11T18:17:06.000-03:00;2022-03-11T18:39:44.000-03:00;;;;
16153;2359431;104390;Em processamento;2022-03-11T18:17:08.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
17634;2359408;;Em processamento;2022-03-11T18:17:07.000-03:00;2022-03-11T18:17:07.000-03:00;;;;
16482;2359378;104390;Em processamento;2022-03-11T18:17:06.000-03:00;2022-03-11T18:39:47.000-03:00;;;;
17502;2359379;104390;Em processamento;2022-03-11T18:17:05.000-03:00;2022-03-11T18:39:51.000-03:00;;;;
